CORR_REGULARIZE rmse
170       1.02782
180       1.0278
190       1.02778
250       1.0277
300       1.02765
325       1.02763
350       1.02761
400       1.02757
500       1.02752
600       1.02748
700       1.02745
800       1.02742
900       1.0274
1100      1.02737 
1500      1.02732
2000      1.02728
2500      1.02726
3000      1.02724
4000      1.02721
5000      1.02719
6000      1.02717
8000      1.02715
10000     1.02712
20000     1.02705
50000     1.02691
100000    1.02681
500000    1.02665
1000000   1.02662
10000000  1.02659
100000000 1.02659
